8526312	8341672	8759727	8293249	33945164	33945100	33945164	33945100
8526254	8341672	8759727	8293249	33945104	33945100	33945104	33945100
8526254	8341672	8759727	8293249	33945104	33945100	33945104	33945100
8526254	8341672	8759718	8293249	33945096	33945096	33945096	33945096
8526254	8341672	8759718	8293246	33945092	33945108	33945092	33945108
8526259	8341672	8759718	8293246	33945100	33945104	33945100	33945104
8526259	8341679	8759718	8293246	33945104	33945100	33945104	33945100
8526259	8341679	8759696	8293246	33945084	33945104	33945084	33945104
8526259	8341679	8759696	8293243	33945080	33945108	33945080	33945108
8526290	8341679	8759696	8293243	33945112	33945100	33945112	33945100
8526290	8341695	8759696	8293243	33945128	33945104	33945128	33945104
8526290	8341695	8759696	8293243	33945128	33945100	33945128	33945100
8526290	8341695	8759696	8293264	33945148	33945104	33945148	33945104
8526274	8341695	8759696	8293264	33945132	33945104	33945132	33945104
8526274	8341649	8759696	8293264	33945088	33945104	33945088	33945104
8526274	8341649	8759712	8293264	33945104	33945096	33945104	33945096
8526274	8341649	8759712	8293253	33945092	33945100	33945092	33945100
8526295	8341649	8759712	8293253	33945112	33945104	33945112	33945104
8526295	8341630	8759712	8293253	33945092	33945100	33945092	33945100
8526295	8341630	8759731	8293253	33945112	33945096	33945112	33945096
8526295	8341630	8759731	8293251	33945112	33945096	33945112	33945096
8526295	8341630	8759731	8293251	33945112	33945104	33945112	33945104
8526295	8341652	8759731	8293251	33945136	33945104	33945136	33945104
8526295	8341652	8759741	8293251	33945144	33945100	33945144	33945100
8526295	8341652	8759741	8293242	33945132	33945100	33945132	33945100
8526280	8341652	8759741	8293242	33945116	33945104	33945116	33945104
8526280	8341678	8759741	8293242	33945144	33945108	33945144	33945108
8526280	8341678	8759727	8293242	33945128	33945108	33945128	33945108
8526280	8341678	8759727	8293250	33945136	33945104	33945136	33945104
8526296	8341678	8759727	8293250	33945152	33945108	33945152	33945108
8526296	8341678	8759727	8293250	33945152	33945108	33945152	33945108
8526296	8341678	8759719	8293250	33945144	33945108	33945144	33945108
8526296	8341678	8759719	8293235	33945128	33945112	33945128	33945112
8526304	8341678	8759719	8293235	33945136	33945108	33945136	33945108
8526304	8341668	8759719	8293235	33945128	33945104	33945128	33945104
8526304	8341668	8759741	8293235	33945152	33945100	33945152	33945100
8526304	8341668	8759741	8293237	33945152	33945108	33945152	33945108
8526270	8341668	8759741	8293237	33945120	33945108	33945120	33945108
8526270	8341665	8759741	8293237	33945116	33945108	33945116	33945108
8526270	8341665	8759741	8293237	33945116	33945116	33945116	33945116
8526270	8341665	8759741	8293226	33945104	33945112	33945104	33945112
8526281	8341665	8759741	8293226	33945116	33945108	33945116	33945108
8526281	8341652	8759741	8293226	33945100	33945108	33945100	33945108
8526281	8341652	8759736	8293226	33945096	33945120	33945096	33945120
8526281	8341652	8759736	8293215	33945088	33945116	33945088	33945116
8526272	8341652	8759736	8293215	33945080	33945120	33945080	33945120
8526272	8341651	8759736	8293215	33945080	33945124	33945080	33945124
8526272	8341651	8759743	8293215	33945088	33945120	33945088	33945120
8526272	8341651	8759743	8293206	33945076	33945120	33945076	33945120
8526272	8341651	8759743	8293206	33945076	33945124	33945076	33945124
8526272	8341668	8759743	8293206	33945092	33945124	33945092	33945124
8526272	8341668	8759758	8293206	33945108	33945116	33945108	33945116
8526272	8341668	8759758	8293233	33945136	33945116	33945136	33945116
8526273	8341668	8759758	8293233	33945136	33945116	33945136	33945116
8526273	8341680	8759758	8293233	33945144	33945120	33945144	33945120
8526273	8341680	8759757	8293233	33945144	33945116	33945144	33945116
8526273	8341680	8759757	8293233	33945144	33945116	33945144	33945116
8526268	8341680	8759757	8293233	33945140	33945116	33945140	33945116
8526268	8341666	8759757	8293233	33945128	33945116	33945128	33945116
8526268	8341666	8759735	8293233	33945104	33945116	33945104	33945116
8526268	8341666	8759735	8293251	33945120	33945120	33945120	33945120
8526250	8341666	8759735	8293251	33945104	33945120	33945104	33945120
8526250	8341664	8759735	8293251	33945104	33945116	33945104	33945116
8526250	8341664	8759735	8293251	33945104	33945116	33945104	33945116
8526250	8341664	8759735	8293250	33945100	33945124	33945100	33945124
8526243	8341664	8759735	8293250	33945096	33945124	33945096	33945124
8526243	8341665	8759735	8293250	33945096	33945124	33945096	33945124
8526243	8341665	8759756	8293250	33945116	33945120	33945116	33945120
8526243	8341665	8759756	8293241	33945108	33945120	33945108	33945120
8526250	8341665	8759756	8293241	33945116	33945124	33945116	33945124
8526250	8341689	8759756	8293241	33945140	33945128	33945140	33945128
8526250	8341689	8759791	8293241	33945176	33945128	33945176	33945128
8526250	8341689	8759791	8293244	33945180	33945124	33945180	33945124
8526237	8341689	8759791	8293244	33945164	33945124	33945164	33945124
8526237	8341682	8759791	8293244	33945160	33945136	33945160	33945136
8526237	8341682	8759789	8293244	33945156	33945136	33945156	33945136
8526237	8341682	8759789	8295640	33947556	33945152	33947556	33945152
8536362	8341682	8759789	8295640	33957704	33945272	33957704	33945272
8536362	8355651	8759789	8295640	33971676	33945536	33971676	33945536
8536362	8355651	8765277	8295640	33977152	033946164	33977152	33946164
8536362	8355651	8765277	8338192	34019820	33946896	34019820	33946896
8594126	8355651	8765277	8338192	34077712	033949512	34077712	33949512
8594126	8407497	8765277	8338192	34129576	33951332	34129576	33951332
8594126	8407497	8797034	8338192	34161264	033955580	34161264	33955580
8594126	8407497	8797034	8596670	34420428	33960260	34420428	33960260
8761110	8407497	8797034	8596670	34587780	033972916	34587780	33972916
8761110	8477640	8797034	8596670	34657948	33979932	34657948	33979932
